episode,lab,task,verdict,detail
2025-11-25-00-01-01-247000.zarr,aria,cup_on_saucer,KEEP,greedy_rank=55
2025-11-27-23-45-40-750000.zarr,aria,cup_on_saucer,KEEP,greedy_rank=99
2025-12-30-22-36-25-849000.zarr,aria,put cup on saucer indomain,KEEP,greedy_rank=110
2025-12-30-22-36-47-420000.zarr,aria,put cup on saucer indomain,KEEP,greedy_rank=127
2026-01-09-00-14-38-000000.zarr,aria,fold_clothes,KEEP,greedy_rank=41
2026-01-16-19-16-24-113000.zarr,aria,cup_on_saucer,KEEP,greedy_rank=73
2026-01-16-21-55-52-103000.zarr,aria,cup_on_saucer,KEEP,greedy_rank=75
2026-01-16-21-56-03-948000.zarr,aria,cup_on_saucer,KEEP,greedy_rank=61
2026-01-19-19-53-20-096000.zarr,aria,cup_on_saucer,KEEP,greedy_rank=23
2026-01-21-02-21-02-330000.zarr,aria,cup_on_saucer,KEEP,greedy_rank=138
2026-01-22-01-10-22-624000.zarr,aria,cup_on_saucer,KEEP,greedy_rank=80
2026-01-24-05-29-04-668000.zarr,aria,cup_on_saucer,KEEP,greedy_rank=151
2026-03-17-03-03-52-000000.zarr,aria,pick_place,KEEP,greedy_rank=63
2026-04-25-21-14-12-000000.zarr,aria,pick_place,KEEP,greedy_rank=101
2026-04-28-20-01-00-000000.zarr,aria,fold_clothes_success,KEEP,greedy_rank=91
2026-06-04-01-18-06-000000.zarr,aria,sort,KEEP,greedy_rank=98
2026-06-17-03-31-29-000000.zarr,aria,pick_place,KEEP,greedy_rank=69
2026-06-17-04-04-07-000000.zarr,aria,pick_place,KEEP,greedy_rank=118
2026-07-21-02-10-26-000000.zarr,aria,sort,KEEP,greedy_rank=85
6919d3b833263918bfb8feda.zarr,mecka,,KEEP,greedy_rank=93
691a8c78f7961ed77b78abe0.zarr,mecka,,KEEP,greedy_rank=25
691e752266926a54e2487606.zarr,mecka,,KEEP,greedy_rank=3
69206e2c1bd3680f2d956953.zarr,mecka,,KEEP,greedy_rank=8
6923ba72f6f836bffb56adca.zarr,mecka,,KEEP,greedy_rank=67
6924364416564f58c9f0393d.zarr,mecka,,KEEP,greedy_rank=14
69243e19ad890204c9de35c7.zarr,mecka,,KEEP,greedy_rank=136
6924887a16564f58c9f03bfc.zarr,mecka,,KEEP,greedy_rank=129
6924ac57994393ee0224053a.zarr,mecka,debug,KEEP,greedy_rank=12
6924ec1a05178259484ecf73.zarr,mecka,,KEEP,greedy_rank=9
692523484653db00f18dfdc0.zarr,mecka,,KEEP,greedy_rank=114
69253c0b0d37b20b10dc2e77.zarr,mecka,,KEEP,greedy_rank=59
69253cbb26647f174864700d.zarr,mecka,,KEEP,greedy_rank=13
69253cf54653db00f18dfff0.zarr,mecka,,KEEP,greedy_rank=148
692554d846beee1ac6b923a5.zarr,mecka,,KEEP,greedy_rank=27
692b7969fc4b0087770c7b24.zarr,mecka,,KEEP,greedy_rank=77
692b7aed2650e2b87c38952e.zarr,mecka,debug,KEEP,greedy_rank=50
692b84826578ec9d83e186ac.zarr,mecka,,KEEP,greedy_rank=64
692b91aeb12ab3a1326efbc3.zarr,mecka,debug,KEEP,greedy_rank=10
692b93160c3901ed191e0595.zarr,mecka,,KEEP,greedy_rank=26
692b9eefb835927f704536e2.zarr,mecka,,KEEP,greedy_rank=52
692b9fd7d2097ee2422da71f.zarr,mecka,debug,KEEP,greedy_rank=97
692bb5a90d681dbbb547a101.zarr,mecka,,KEEP,greedy_rank=48
692bb811c8977fdf9a4eba2d.zarr,mecka,,KEEP,greedy_rank=46
692bb97eaf0b6b46860fccb1.zarr,mecka,,KEEP,greedy_rank=7
692bc7209f1755610aaf331c.zarr,mecka,,KEEP,greedy_rank=5
692bc93b0a0b4f1b12c7d387.zarr,mecka,debug,KEEP,greedy_rank=141
692bd19d6284b877d2c66298.zarr,mecka,,KEEP,greedy_rank=105
692bdbf3cddb3814eaaa2d47.zarr,mecka,,KEEP,greedy_rank=20
692de146a3e423b108fe92e8.zarr,mecka,debug,KEEP,greedy_rank=68
692de1dd24101c9c19551f46.zarr,mecka,debug,KEEP,greedy_rank=42
692de7474d985f9a7ea7a9da.zarr,mecka,debug,KEEP,greedy_rank=6
692de78c11a605d8e47db762.zarr,mecka,,KEEP,greedy_rank=21
692df3dd2b9225694467a44d.zarr,mecka,,KEEP,greedy_rank=39
692e647633432e0de82f98a1.zarr,mecka,,KEEP,greedy_rank=111
692e6499a15f803a747ac597.zarr,mecka,,KEEP,greedy_rank=45
2026-03-25-09-01-57-144907.zarr,microagi,wash_greens,KEEP,greedy_rank=44
2026-03-25-14-36-37-982570.zarr,microagi,draw_on_cardboard,KEEP,greedy_rank=125
2026-03-25-18-22-20-058246.zarr,microagi,wash_dishes,KEEP,greedy_rank=83
2026-03-25-18-47-45-850576.zarr,microagi,clean_stove,KEEP,greedy_rank=22
2026-03-25-18-56-55-475635.zarr,microagi,clean_stove_top,KEEP,greedy_rank=31
2026-03-26-08-10-10-243331.zarr,microagi,organize_and_clean_food_containers,KEEP,greedy_rank=109
2026-03-26-09-35-22-607730.zarr,microagi,make_potato_waffles,KEEP,greedy_rank=54
2026-03-26-12-24-56-648253.zarr,microagi,kitchen_activities,KEEP,greedy_rank=107
2026-03-26-12-26-26-791872.zarr,microagi,prepare_green_beans,KEEP,greedy_rank=70
2026-03-26-12-47-44-201913.zarr,microagi,Cover_the_notebook,KEEP,greedy_rank=40
2026-03-26-15-34-36-628367.zarr,microagi,prepare_paneer_dish,KEEP,greedy_rank=92
2026-03-26-17-27-15-831446.zarr,microagi,prepare_oven_tray,KEEP,greedy_rank=18
2026-03-26-17-31-00-365298.zarr,microagi,prepare_potatoes,KEEP,greedy_rank=32
2026-03-26-17-32-12-162262.zarr,microagi,prepare_potatoes,KEEP,greedy_rank=131
2026-03-26-18-32-26-982612.zarr,microagi,wash_dishes,KEEP,greedy_rank=19
2026-03-26-19-25-12-632877.zarr,microagi,iron_pink_cloth,KEEP,greedy_rank=36
2026-03-27-06-47-13-707381.zarr,microagi,cut_ginger,KEEP,greedy_rank=152
2026-03-27-07-11-10-751773.zarr,microagi,prepare_ginger,KEEP,greedy_rank=160
2026-03-27-10-02-36-654379.zarr,microagi,wash_dishes,KEEP,greedy_rank=24
2026-03-27-11-01-43-659694.zarr,microagi,prepare_stuffed_peppers,KEEP,greedy_rank=15
2026-03-27-11-19-08-492618.zarr,microagi,wash_dishes,KEEP,greedy_rank=88
2026-03-27-11-36-36-579686.zarr,microagi,organize_stationery,KEEP,greedy_rank=159
2026-03-27-12-16-17-930158.zarr,microagi,wash_dishes,KEEP,greedy_rank=149
2026-03-27-12-30-36-746664.zarr,microagi,fold_laundry,KEEP,greedy_rank=126
2026-03-27-12-31-26-274513.zarr,microagi,chop_onions,KEEP,greedy_rank=157
2026-03-27-12-40-11-462338.zarr,microagi,prepare_chickpea_curry,KEEP,greedy_rank=144
2026-03-27-13-27-27-789349.zarr,microagi,prepare_vegetables_for_storage,KEEP,greedy_rank=30
2026-03-27-13-48-07-455646.zarr,microagi,organize_wire_bundle,KEEP,greedy_rank=122
2026-03-27-14-58-13-163548.zarr,microagi,portion_dough,KEEP,greedy_rank=33
2026-03-27-17-51-42-216649.zarr,microagi,wash_dishes,KEEP,greedy_rank=71
2026-03-27-18-17-01-111606.zarr,microagi,prepare_and_cook_flatbread,KEEP,greedy_rank=66
2026-03-27-18-26-16-559916.zarr,microagi,fold_clothes,KEEP,greedy_rank=140
2026-03-27-18-40-24-660024.zarr,microagi,prepare_a_wrap,KEEP,greedy_rank=100
2026-03-27-18-44-41-176362.zarr,microagi,prepare_onion,KEEP,greedy_rank=65
2026-03-27-19-51-47-737254.zarr,microagi,prepare_ingredients_for_blending,KEEP,greedy_rank=156
2026-03-27-22-08-50-857676.zarr,microagi,wash_dishes,KEEP,greedy_rank=57
2026-03-27-22-11-23-167597.zarr,microagi,prepare_grapes,KEEP,greedy_rank=60
2026-03-27-23-54-21-543190.zarr,microagi,make_clay_balls,KEEP,greedy_rank=47
2026-03-28-03-20-18-878168.zarr,microagi,wash_dishes,KEEP,greedy_rank=82
2026-03-28-04-00-48-242955.zarr,microagi,fold_clothes,KEEP,greedy_rank=76
2026-03-28-06-08-18-867638.zarr,microagi,organize_plumbing_fittings,KEEP,greedy_rank=95
2026-03-28-07-46-54-925944.zarr,microagi,organize_clothes,KEEP,greedy_rank=17
2026-03-28-07-58-23-733672.zarr,microagi,finely_chop_garlic,KEEP,greedy_rank=155
2026-03-28-08-26-07-478471.zarr,microagi,shred_cooked_chicken,KEEP,greedy_rank=146
2026-03-28-08-26-59-729809.zarr,microagi,organize_laundry,KEEP,greedy_rank=78
2026-03-28-08-33-18-362274.zarr,microagi,fold_clothes,KEEP,greedy_rank=29
2026-04-30-10-11-28-209479.zarr,scale,flagship_bagging_groceries,KEEP,greedy_rank=58
2026-04-30-11-34-58-262177.zarr,scale,freeform_pack_a_suitcase_for_a_trip,KEEP,greedy_rank=37
2026-04-30-18-40-25-304839.zarr,scale,freeform_do_dishes,KEEP,greedy_rank=103
2026-05-01-04-05-25-689893.zarr,scale,freeform_load_unload_dishwasher,KEEP,greedy_rank=35
2026-05-01-04-20-56-479695.zarr,scale,freeform_unpack_grocery_bag,KEEP,greedy_rank=0
2026-05-01-06-01-23-874845.zarr,scale,freeform_do_dishes,KEEP,greedy_rank=128
2026-05-01-06-24-54-593577.zarr,scale,flagship_bagging_groceries,KEEP,greedy_rank=143
2026-05-01-06-48-19-759778.zarr,scale,flagship_put_cup_on_saucer,KEEP,greedy_rank=87
2026-05-01-06-58-03-295854.zarr,scale,flagship_sort_utensils,KEEP,greedy_rank=90
2026-05-01-07-02-40-177146.zarr,scale,freeform_pack_a_suitcase_for_a_trip,KEEP,greedy_rank=116
2026-05-01-07-24-11-200576.zarr,scale,freeform_folding_clothes,KEEP,greedy_rank=74
2026-05-01-07-27-42-220598.zarr,scale,freeform_folding_clothes,KEEP,greedy_rank=62
2026-05-01-07-27-57-173072.zarr,scale,freeform_tidy_up_kitchen,KEEP,greedy_rank=145
2026-05-01-08-06-58-506325.zarr,scale,freeform_return_small_objects_to_bins,KEEP,greedy_rank=161
2026-05-01-08-14-15-756666.zarr,scale,freeform_bagging_groceries,KEEP,greedy_rank=102
2026-05-01-08-17-15-042200.zarr,scale,freeform_insert_batteries_into_electronic_devices,KEEP,greedy_rank=81
2026-05-01-08-34-22-896525.zarr,scale,freeform_placing_utensils_into_a_drawer,KEEP,greedy_rank=115
2026-05-01-08-45-42-930298.zarr,scale,freeform_bagging_groceries,KEEP,greedy_rank=79
2026-05-01-09-20-17-680315.zarr,scale,freeform_change_the_light_bulb_on_a_lamp,KEEP,greedy_rank=147
2026-05-01-09-23-55-477267.zarr,scale,flagship_folding_clothes,KEEP,greedy_rank=124
2026-05-01-09-39-08-477596.zarr,scale,freeform_bagging_groceries,KEEP,greedy_rank=28
2026-05-01-10-05-44-413684.zarr,scale,freeform_folding_clothes,KEEP,greedy_rank=2
2026-05-01-10-10-37-179022.zarr,scale,freeform_unpack_grocery_bag,KEEP,greedy_rank=34
2026-05-01-10-33-50-470171.zarr,scale,freeform_make_bed,KEEP,greedy_rank=89
2026-05-01-10-35-29-700050.zarr,scale,freeform_unload_dishwasher,KEEP,greedy_rank=132
2026-05-01-11-10-52-973623.zarr,scale,freeform_tie_the_plastic_bag,KEEP,greedy_rank=49
2026-05-01-11-16-33-469158.zarr,scale,freeform_change_the_light_bulb_on_a_lamp,KEEP,greedy_rank=117
2026-05-01-11-22-45-065007.zarr,scale,freeform_hang_shirt_on_hanger_and_place_on_rack,KEEP,greedy_rank=153
2026-05-01-11-24-03-178346.zarr,scale,freeform_pack_a_suitcase_for_a_trip,KEEP,greedy_rank=11
2026-05-01-11-38-24-724622.zarr,scale,freeform_do_dishes,KEEP,greedy_rank=53
2026-05-01-11-53-55-110575.zarr,scale,freeform_put_object_in_container,KEEP,greedy_rank=150
2026-05-01-11-56-52-061383.zarr,scale,freeform_unload_dishwasher,KEEP,greedy_rank=119
2026-05-01-12-01-39-830501.zarr,scale,flagship_folding_clothes,KEEP,greedy_rank=134
2026-05-01-12-20-49-557377.zarr,scale,freeform_wipe_mirror_with_spray,KEEP,greedy_rank=112
2026-05-01-12-30-03-958370.zarr,scale,freeform_folding_clothes,KEEP,greedy_rank=123
2026-05-01-12-31-20-244075.zarr,scale,freeform_bagging_groceries,KEEP,greedy_rank=96
2026-05-01-12-33-30-888273.zarr,scale,freeform_bagging_groceries,KEEP,greedy_rank=158
2026-05-01-12-33-34-118418.zarr,scale,freeform_unpack_grocery_bag,KEEP,greedy_rank=137
2026-05-01-13-24-06-279476.zarr,scale,flagship_bagging_groceries,KEEP,greedy_rank=94
2026-05-01-13-31-07-438472.zarr,scale,freeform_hang_shirt_on_hanger_and_place_on_rack,KEEP,greedy_rank=104
2026-05-01-13-32-23-921731.zarr,scale,flagship_bagging_groceries,KEEP,greedy_rank=139
2026-05-01-13-47-06-987649.zarr,scale,freeform_unpack_grocery_bag_and_put_items_into_fridge,KEEP,greedy_rank=72
2026-05-01-13-51-31-519552.zarr,scale,flagship_bagging_groceries,KEEP,greedy_rank=130
2026-05-01-13-52-19-305300.zarr,scale,flagship_bagging_groceries,KEEP,greedy_rank=133
2026-05-01-14-00-35-438399.zarr,scale,freeform_make_bed,KEEP,greedy_rank=135
2026-05-01-14-22-38-355274.zarr,scale,freeform_folding_clothes,KEEP,greedy_rank=56
2026-05-01-14-25-27-042563.zarr,scale,freeform_change_the_light_bulb_on_a_lamp,KEEP,greedy_rank=142
2026-05-01-14-29-30-389244.zarr,scale,freeform_folding_clothes,KEEP,greedy_rank=4
2026-05-01-15-14-06-057778.zarr,scale,freeform_do_dishes,KEEP,greedy_rank=43
2026-05-01-15-40-30-913322.zarr,scale,freeform_unpack_grocery_bag,KEEP,greedy_rank=120
2026-05-01-15-47-51-706694.zarr,scale,freeform_pack_a_suitcase_for_a_trip,KEEP,greedy_rank=16
2026-05-01-16-06-35-230310.zarr,scale,freeform_unpack_grocery_bag,KEEP,greedy_rank=154
2026-05-01-16-16-17-015282.zarr,scale,flagship_sort_utensils,KEEP,greedy_rank=113
